iter	Passed	Remaining
552	3415	2760
553	3421	2754
554	3427	2748
555	3434	2743
556	3440	2736
557	3447	2730
558	3453	2724
559	3460	2718
560	3466	2712
561	3472	2706
562	3478	2699
563	3485	2694
564	3492	2688
565	3498	2682
566	3505	2676
567	3511	2670
568	3518	2665
569	3524	2658
570	3531	2653
571	3537	2647
572	3543	2640
573	3550	2634
574	3556	2628
575	3563	2622
576	3569	2616
577	3574	2609
578	3580	2603
579	3586	2597
580	3592	2590
581	3598	2584
582	3604	2578
583	3610	2571
584	3616	2565
585	3621	2558
586	3628	2552
587	3633	2546
588	3639	2539
589	3645	2533
590	3651	2527
591	3657	2520
592	3663	2514
593	3669	2507
594	3674	2501
595	3680	2494
596	3686	2488
597	3692	2482
598	3697	2475
599	3703	2468
600	3709	2462
601	3715	2456
602	3721	2450
603	3728	2444
604	3734	2437
605	3739	2431
606	3745	2425
607	3751	2418
608	3757	2412
609	3763	2405
610	3768	2399
611	3774	2392
612	3779	2386
613	3785	2379
614	3791	2373
615	3797	2367
616	3802	2360
617	3808	2354
618	3814	2347
619	3820	2341
620	3826	2335
621	3831	2328
622	3836	2321
623	3843	2315
624	3848	2309
625	3854	2303
626	3860	2296
627	3866	2290
628	3871	2283
629	3877	2277
630	3882	2270
631	3888	2264
632	3894	2257
633	3899	2251
634	3905	2245
635	3911	2238
636	3916	2232
637	3922	2225
638	3928	2219
639	3933	2212
640	3940	2206
641	3946	2200
642	3952	2194
643	3958	2188
644	3963	2181
645	3969	2175
646	3975	2168
647	3980	2162
648	3987	2156
649	3992	2149
650	3998	2143
651	4004	2137
652	4009	2130
653	4015	2124
654	4021	2118
655	4027	2112
656	4034	2106
657	4041	2100
658	4046	2093
659	4052	2087
660	4058	2081
661	4064	2075
662	4070	2068
663	4075	2062
664	4081	2055
665	4087	2050
666	4093	2043
667	4099	2037
668	4104	2030
669	4110	2024
670	4116	2018
671	4121	2011
672	4127	2005
673	4133	1999
674	4140	1993
675	4145	1987
676	4152	1981
677	4158	1974
678	4163	1968
679	4169	1962
680	4174	1955
681	4180	1949
682	4186	1942
683	4192	1936
684	4198	1930
685	4204	1924
686	4209	1917
687	4215	1911
688	4221	1905
689	4227	1899
690	4233	1893
691	4239	1886
692	4244	1880
693	4251	1874
694	4258	1868
695	4264	1862
696	4270	1856
697	4276	1850
698	4282	1844
699	4287	1837
700	4293	1831
701	4299	1825
702	4304	1818
703	4310	1812
704	4316	1806
705	4321	1799
706	4328	1793
707	4333	1787
708	4339	1781
709	4346	1775
710	4351	1768
711	4356	1762
712	4362	1756
713	4368	1749
714	4373	1743
715	4380	1737
716	4385	1731
717	4391	1724
718	4397	1718
719	4402	1712
720	4409	1706
721	4428	1705
722	4433	1698
723	4439	1692
724	4445	1686
725	4451	1679
726	4456	1673
727	4463	1667
728	4468	1661
729	4474	1654
730	4480	1648
731	4485	1642
732	4492	1636
733	4497	1629
734	4503	1623
735	4509	1617
736	4514	1611
737	4520	1604
738	4526	1598
739	4531	1592
740	4537	1585
741	4543	1579
742	4548	1573
743	4554	1567
744	4560	1561
745	4566	1554
746	4571	1548
747	4577	1542
748	4583	1535
749	4589	1529
750	4595	1523
751	4600	1517
752	4606	1511
753	4612	1504
754	4617	1498
755	4623	1492
756	4629	1485
757	4634	1479
758	4640	1473
759	4646	1467
760	4652	1461
761	4658	1454
762	4663	1448
763	4669	1442
764	4675	1436
765	4680	1429
766	4686	1423
767	4693	1417
768	4698	1411
769	4705	1405
770	4710	1399
771	4715	1392
772	4721	1386
773	4727	1380
774	4733	1374
775	4739	1368
776	4744	1361
777	4750	1355
778	4756	1349
779	4761	1342
780	4766	1336
781	4773	1330
782	4778	1324
783	4784	1318
784	4790	1311
785	4795	1305
786	4801	1299
787	4807	1293
788	4812	1287
789	4818	1280
790	4824	1274
791	4829	1268
792	4836	1262
793	4841	1256
794	4847	1250
795	4853	1243
796	4859	1237
797	4865	1231
798	4871	1225
799	4876	1219
800	4882	1212
801	4888	1206
802	4893	1200
803	4899	1194
804	4904	1188
805	4910	1181
806	4916	1175
807	4922	1169
808	4928	1163
809	4935	1157
810	4940	1151
811	4946	1145
812	4952	1139
813	4957	1132
814	4963	1126
815	4969	1120
816	4974	1114
817	4981	1108
818	4987	1102
819	4992	1096
820	5000	1090
821	5006	1084
822	5012	1077
823	5018	1071
824	5023	1065
825	5030	1059
826	5035	1053
827	5040	1047
828	5047	1041
829	5052	1034
830	5058	1028
831	5064	1022
832	5069	1016
833	5075	1010
834	5082	1004
835	5087	998
836	5092	991
837	5098	985
838	5103	979
839	5109	973
840	5115	967
841	5120	960
842	5126	954
843	5132	948
844	5138	942
845	5144	936
846	5149	930
847	5154	923
848	5160	917
849	5166	911
850	5172	905
851	5178	899
852	5184	893
853	5191	887
854	5197	881
855	5202	875
856	5208	869
857	5214	863
858	5219	856
859	5226	850
860	5231	844
861	5236	838
862	5242	832
863	5248	826
864	5253	819
865	5259	813
866	5265	807
867	5271	801
868	5278	795
869	5284	789
870	5291	783
871	5297	777
872	5303	771
873	5309	765
874	5315	759
875	5320	753
876	5326	747
877	5331	740
878	5338	734
879	5344	728
880	5350	722
881	5356	716
882	5362	710
883	5368	704
884	5374	698
885	5380	692
886	5385	686
887	5392	680
888	5397	673
889	5403	667
890	5409	661
891	5414	655
892	5421	649
893	5426	643
894	5432	637
895	5439	631
896	5444	625
897	5450	619
898	5456	613
899	5461	606
900	5467	600
901	5473	594
902	5478	588
903	5483	582
904	5490	576
905	5495	570
906	5501	564
907	5506	557
908	5512	551
909	5518	545
910	5523	539
911	5529	533
912	5535	527
913	5540	521
914	5545	515
915	5551	509
916	5557	503
917	5562	496
918	5569	490
919	5574	484
920	5579	478
921	5585	472
922	5591	466
923	5596	460
924	5603	454
925	5608	448
926	5614	442
927	5620	436
928	5625	429
929	5631	423
930	5637	417
931	5642	411
932	5648	405
933	5653	399
934	5659	393
935	5665	387
936	5671	381
937	5678	375
938	5683	369
939	5689	363
940	5695	357
941	5701	351
942	5707	344
943	5712	338
944	5718	332
945	5724	326
946	5729	320
947	5735	314
948	5741	308
949	5747	302
950	5753	296
951	5759	290
952	5764	284
953	5769	278
954	5775	272
955	5781	266
956	5786	260
957	5792	253
958	5798	247
959	5804	241
960	5810	235
961	5815	229
962	5821	223
963	5827	217
964	5832	211
965	5839	205
966	5844	199
967	5850	193
968	5856	187
969	5861	181
970	5867	175
971	5873	169
972	5879	163
973	5885	157
974	5890	151
975	5896	144
976	5902	138
977	5908	132
978	5913	126
979	5920	120
980	5925	114
981	5931	108
982	5937	102
983	5943	96
984	5948	90
985	5954	84
986	5960	78
987	5965	72
988	5971	66
989	5976	60
990	5982	54
991	5988	48
992	5994	42
993	6000	36
994	6006	30
995	6011	24
996	6019	18
997	6024	12
998	6030	6
999	6038	0
